deal,tx,BST_time,type,status,mint,signature,pre_sol,post_sol,wallet_delta_sol,wallet_delta_pct_pre,trade_base_sol,network_fee_sol,external_or_account_funding_gross_sol,immediate_account_refund_sol,net_account_funding_sol,wsol_in_sol,wsol_out_sol,wsol_self_funding_sol,temporary_wsol_rent_sol,temporary_wsol_rent_returned_sol,account_creation_lamports,close_accounts
1,BUY,2026-08-29 19:18:05,BUY,OK,6DNiANPmV14rGRqDYLcoM9s9sHmNo8uFCDv9m6wR6R18,616fKDGipKNgBAb8KXPMBaF1frCQEPQ81vEcuPkqwH43TBxtqLaNyZFTvsteDErPoyHdHwcR1TDL4ypPcRhA4keJ,0.040018323,0.024789284,-0.015229039,-38.055,0.01103928,0.000006799,0.006222240,0,0.006222240,0,0.009,0.01103928,0.002039280,0.002039280,4113360,1
1,SELL,2026-08-29 19:18:23,SELL,OK,6DNiANPmV14rGRqDYLcoM9s9sHmNo8uFCDv9m6wR6R18,2yvCmzTGMe9hZoppFiSCjxcuwTu8qT5gFRAyKZvtGPVTNDwwaaLaYV3xwwjfof7X4pT7S4xVn5MpZxzM9YixXY1r,0.024789284,0.032782255,0.007992971,32.244,0.01008314,0.000006006,0.003918480,0.001844400,0.002074080,0.010083140,0.000010083,0.00203928,0.002039280,0.002039280,2039280,1
2,BUY,2026-08-29 19:18:31,BUY,OK,6DNiANPmV14rGRqDYLcoM9s9sHmNo8uFCDv9m6wR6R18,fnsoigD18eQEfbR5xJXQQQby3TRv6nTZXs2jSGL5YXiTvznTB6roMzVNo2fh1oAmCLZBraHgK6KcqjLBFiy4KQk,0.032782255,0.019627216,-0.013155039,-40.129,0.01103928,0.000006879,0.004148160,0,0.004148160,0,0.009,0.01103928,0.002039280,0.002039280,2039280,1
2,SELL,2026-08-29 19:18:45,SELL,OK,6DNiANPmV14rGRqDYLcoM9s9sHmNo8uFCDv9m6wR6R18,3tekSRc6y9nYw5z3wixb8QEbWLcAVSWG86mHNbsJCQH5dg3NDDuGXKqPb19aENGuJeG4XyQRPUrR4W7jV7nYL9ZU,0.019627216,0.028916354,0.009289138,47.328,0.009304846,0.000006404,0.001844400,0.001844400,0,0.009304846,0.000009304,0.00203928,0.002039280,0.002039280,2039280,1
3,BUY,2026-08-29 19:18:54,BUY,OK,6DNiANPmV14rGRqDYLcoM9s9sHmNo8uFCDv9m6wR6R18,4kubdTzJwEw7dns3cqgo4yLxGPxUCHx8L1k9uzEMVZuXuCwP4ivSfRz9ZzfXFoL7QJKuij4v7buWweeV7ti737Eo,0.028916354,0.017836124,-0.011080230,-38.318,0.01103928,0.000006150,0.002074080,0,0.002074080,0,0.009,0.01103928,0.002039280,0.002039280,2039280,1
3,SELL,2026-08-29 19:19:02,SELL,OK,6DNiANPmV14rGRqDYLcoM9s9sHmNo8uFCDv9m6wR6R18,4N4L4xgT8MTBPrJ6jpLeGFhenDnnhAVdCYj72JbL9vMU2C28hxHDgqLJWeLDNXmDLkXiPiPYzoVrnSdUFfkYhmQF,0.017836124,0.024186704,0.006350580,35.605,0.008439882,0.000006783,0.003918480,0.001844400,0.002074080,0.008439882,0.000008439,0.00203928,0.002039280,0.002039280,2039280,1
