symbol,mint,official_source,enabled,notes
JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,https://jupiter-support.mintlify.app/user-docs/more/jup-token,true,Jupiter governance token; official mint from Jupiter documentation
PYTH,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,https://docs.pyth.network/pyth-token/pyth-token-addresses,true,Pyth governance token; official Solana mint from Pyth documentation
JTO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,https://www.jito.network/blog/airdrop-claiming-details/,true,Jito governance token; official mint from Jito Foundation
